name,poi_id,cate,lat,lng,COMMUNITY,AREA_NUMBE
Chicago Rib House,685179,catering,41.8240835,-87.6227362,DOUGLAS,35.0
Mi Lindo Mexico,686436,catering,41.823828,-87.6402275,BRIDGEPORT,60.0
Pizza Nova Express,686538,catering,41.8164753,-87.6406851,NEW CITY,61.0
Legend Tasty House,691113,catering,41.8516112,-87.6322637,ARMOUR SQUARE,34.0
White Palace Grill,693037,catering,41.867535,-87.6389703,NEAR WEST SIDE,28.0
Brett's Kitchen,694077,catering,41.8954007,-87.6355034,NEAR NORTH SIDE,8.0
Carson's,694095,catering,41.8927883,-87.6344381,NEAR NORTH SIDE,8.0
Fogo de Chão Brazilian Steakhouse,694105,catering,41.8942563,-87.6321226,NEAR NORTH SIDE,8.0
Tavern on Rush,694167,catering,41.9017804,-87.6277726,NEAR NORTH SIDE,8.0
China Doll,694347,catering,41.9052534,-87.6347919,NEAR NORTH SIDE,8.0
Uproar,694358,catering,41.9054071,-87.6348606,NEAR NORTH SIDE,8.0
Sammy's Red Hots,694645,catering,41.9040633,-87.6362035,NEAR NORTH SIDE,8.0
Eataly,694863,catering,41.8921898,-87.6262542,NEAR NORTH SIDE,8.0
Gene & Georgetti,694911,catering,41.8908999,-87.6357969,NEAR NORTH SIDE,8.0
The Green Door Tavern,695055,catering,41.8946183,-87.6373978,NEAR NORTH SIDE,8.0
Pizano's Pizza & Pasta,695134,catering,41.8968144,-87.6300956,NEAR NORTH SIDE,8.0
Kuklai Restaurant,695247,catering,41.8911598,-87.6337076,NEAR NORTH SIDE,8.0
Magnum's Restaurant,695255,catering,41.8929346,-87.6351856,NEAR NORTH SIDE,8.0
Pizzeria Uno,695287,catering,41.8922793,-87.6269105,NEAR NORTH SIDE,8.0
,695346,catering,41.892188,-87.6343535,NEAR NORTH SIDE,8.0
Orso's,695561,catering,41.907785,-87.6343103,NEAR NORTH SIDE,8.0
Lan's China Bistro,695830,catering,41.9095219,-87.6382455,NEAR NORTH SIDE,8.0
Pazza Pizza,695965,catering,41.9105479,-87.6383629,NEAR NORTH SIDE,8.0
,695996,catering,41.9109184,-87.633964,NEAR NORTH SIDE,8.0
Church's Chicken,704937,catering,41.7075667,-87.6182668,ROSELAND,49.0
Subway,759550,catering,41.7073267,-87.5592316,SOUTH DEERING,51.0
Heinie's Shrimp House,759624,catering,41.7065752,-87.559368,SOUTH DEERING,51.0
L & G,759631,catering,41.7060727,-87.5591841,SOUTH DEERING,51.0
Tacos Don Memo,759810,catering,41.7034925,-87.5598589,SOUTH DEERING,51.0
Taco Mex,759925,catering,41.7010932,-87.5599283,SOUTH DEERING,51.0
Doreen's Pizzeria,783289,catering,41.6553815,-87.546826,HEGEWISCH,55.0
Chicago Pita Kitchen,783440,catering,41.655084,-87.5539514,HEGEWISCH,55.0
Los Cantaritos,783881,catering,41.6523887,-87.5469155,HEGEWISCH,55.0
Pudgy's Pizza,784230,catering,41.6500811,-87.5474543,HEGEWISCH,55.0
Gorditas Adrian's,784253,catering,41.6493813,-87.5467415,HEGEWISCH,55.0
Nicky'z Gyros,789113,catering,41.7025057,-87.5366655,EAST SIDE,52.0
Los Tres Amigos 2,790277,catering,41.7025554,-87.5423881,EAST SIDE,52.0
Gina's Chicken,790295,catering,41.7025376,-87.5406335,EAST SIDE,52.0
Mariscos El Malecon,793032,catering,41.7187708,-87.5513113,SOUTH DEERING,51.0
Taquería Picazo,793041,catering,41.7186939,-87.5513255,SOUTH DEERING,51.0
Birrieria Ocotlan,795615,catering,41.7365193,-87.5517422,SOUTH CHICAGO,46.0
A Town Wings,796339,catering,41.7294434,-87.5508478,SOUTH CHICAGO,46.0
Rocky's Pancake House,797709,catering,41.7448109,-87.5520401,SOUTH CHICAGO,46.0
El Jacalito,799486,catering,41.7416927,-87.5513252,SOUTH CHICAGO,46.0
Tamales Y Restaurant Costa Grande,807067,catering,41.7105105,-87.5355382,EAST SIDE,52.0
El Quetzal,807196,catering,41.7205471,-87.5350221,EAST SIDE,52.0
Avy's Pizza,807420,catering,41.7152872,-87.5350188,EAST SIDE,52.0
Stan's Donuts,809955,catering,41.8677093,-87.6264472,LOOP,32.0
Club Lago,812156,catering,41.8953215,-87.6369391,NEAR NORTH SIDE,8.0
McDonald's,812501,catering,41.8857442,-87.6620103,NEAR WEST SIDE,28.0
Potbelly's,812505,catering,41.9230971,-87.6457936,LINCOLN PARK,7.0
Taste of Canton,812570,catering,41.8336243,-87.6729244,MCKINLEY PARK,59.0
Bub City,812905,catering,41.8902174,-87.6308246,NEAR NORTH SIDE,8.0
The Dawson,813889,catering,41.8914037,-87.647342,WEST TOWN,24.0
El Habanero,816381,catering,41.9248867,-87.7109877,LOGAN SQUARE,22.0
Owen & Engine,816693,catering,41.9304704,-87.6882205,LOGAN SQUARE,22.0
Queen's Landing Concession,818753,catering,41.8754839,-87.6164196,LOOP,32.0
Chipotle,820037,catering,41.8680307,-87.6410378,NEAR WEST SIDE,28.0
Gale Street Inn,821722,catering,41.9698764,-87.7629646,JEFFERSON PARK,11.0
Taqueria La Estrella,821950,catering,41.9680255,-87.7612418,JEFFERSON PARK,11.0
Vienna Beef Hot Dogs,822827,catering,41.7879665,-87.7420378,GARFIELD RIDGE,56.0
Go-Go White Sox Grill,822828,catering,41.7885491,-87.7421686,GARFIELD RIDGE,56.0
Reilly's Daughter,822829,catering,41.7878595,-87.7422387,GARFIELD RIDGE,56.0
Cafe L'Appetito,822830,catering,41.787927,-87.7421584,GARFIELD RIDGE,56.0
Cafe Espresso,822831,catering,41.7879686,-87.7420974,GARFIELD RIDGE,56.0
Jim's Original,822851,catering,41.8656993,-87.6452276,NEAR WEST SIDE,28.0
Express Grill,822852,catering,41.8653389,-87.6452176,NEAR WEST SIDE,28.0
Museum Campus Cafe,822908,catering,41.8665075,-87.6146569,NEAR SOUTH SIDE,33.0
Subway,845791,catering,41.7913606,-87.5897117,HYDE PARK,41.0
Upton’s Breakroom,852655,catering,41.8909552,-87.6791038,WEST TOWN,24.0
Gorditas Loli's,853118,catering,41.7029186,-87.5380199,EAST SIDE,52.0
Leon's Barbeque Zone,853119,catering,41.7025564,-87.543222,EAST SIDE,52.0
La Original Michoacana,853122,catering,41.7171615,-87.554021,SOUTH DEERING,51.0
Roots Handmade Pizza,863420,catering,41.8725063,-87.6294058,LOOP,32.0
Soundings café,865275,catering,41.8680983,-87.6134191,NEAR SOUTH SIDE,33.0
Bubble Net Food Court,865276,catering,41.8680856,-87.6134298,NEAR SOUTH SIDE,33.0
Left Coast Food + Juice,865862,catering,41.9339615,-87.6609768,LAKE VIEW,6.0
The Duck Inn,866783,catering,41.8444223,-87.6601332,BRIDGEPORT,60.0
Catalog,872354,catering,41.8784056,-87.6358774,LOOP,32.0
Main Barn,91,corporations,41.9169519,-87.6336913,LINCOLN PARK,7.0
Livestock Barn,92,corporations,41.916977,-87.6332639,LINCOLN PARK,7.0
Farm House,93,corporations,41.9173784,-87.6340138,LINCOLN PARK,7.0
Dairy Barn,94,corporations,41.9177288,-87.6336325,LINCOLN PARK,7.0
Old Chicago Post Office,171,corporations,41.875584,-87.6386643,NEAR WEST SIDE,28.0
Chicago Board of Trade Building,303,corporations,41.8774028,-87.6318561,LOOP,32.0
Lincoln Park Zoo Administration Building,865,corporations,41.9187767,-87.6354317,LINCOLN PARK,7.0
Amtrak 16th Street Diesel Shop,876,corporations,41.8601207,-87.6361661,NEAR WEST SIDE,28.0
Amtrak Car Washer,877,corporations,41.8599905,-87.6367174,NEAR WEST SIDE,28.0
